brand,categories,features.value,manufacturer,name
Jolly Time,"Agave Nectar & Syrup,Grocery & Gourmet Food,Cooking & Baking,Syrups, Sugars & Sweeteners,Grocery,Pantry Staples","Salt, Yellow 5 Lake, Tricalcium Phosphate And Artificial Butter Flavor",Reese's,Jolly Time Popcorn
Ziyad,"Air Fresheners,Other Grocery,Household Essentials,Food","Mechanically hulled seasame seeds.Allergy Information: Packed in a facility that processes wheat, flour, peanuts and tree nuts.,Mechanically hulled seasame seeds.Allergy Information: Packed in a facility that processes wheat,flour,peanuts and tree nuts.",Ziyad,Ziyad Tahini Sesame Sauce
Fla-Vor-Ice,"All-Purpose Cleaners,Household Essentials,Cleaning Supplies,Other Grocery,Food,Grocery",FALSE,Fla-Vor-Ice,Fla-Vor-Ice Plus Giant Pops
Hero,"Almond Butter,Food,Peanut Butter,Grocery,Nut Butters","Red Raspberries,Sugar,Glucose Syrup,Citric Acid,Pectin. Contains: Wheat.","HERO, INC.",Hero Fruit Sprd Blk Currant-12 Oz -pack of 8
Simply Asia,"Almond Butter,Grocery & Gourmet Food,Jams, Jellies & Sweet Spreads,Nut & Seed Butters,grocery","Noodles: wheat flour,water,wheat gluten,modified tapioca starch,salt,sodium alginate,lactic acid. Sauce packet: sugar,water,soy sauce (water, soybean, wheat, salt),plum sauce (plum juice, sugar, plum, water, licorice extract, citric acid, sodium citrate, salt, xanthan gum, caramel color),rice vinegar,pineapple juice concentrate,salt,hydrolyzed soy protein,tomato paste,modified corn starch,orange juice concentrate,onion,yeast extract,red chili pepper. Vegetable packet: ...",Simply Asia,Simply Asia Noodle Bowl Mandarin Orange -- 8.5 oz
EMERIL S,"Almond Milk,Grocery & Gourmet Food,Dairy, Cheese & Eggs,Milk Substitutes,Soy Milk,Grocery","Wheat Flour,Soybean Oil,Salt,Dehydrated Garlic,Sugar,Onion Powder,Garlic Powder,Yeast,Spices. Contains: Wheat.","B&G Foods, Inc.",Italian Bread Crumbs
Back to Nature,"Almonds,Food,Fresh Food,Dairy, Eggs & Cheese,Milk & Cream,Grocery","Rolled Oats,Brown Rice Syrup,Evaporated Cane Juice,Brown Rice Crisp (Brown Rice, Brown Rice Syrup, Salt),Water,Non-GMO Canola Oil,Oat Bran,Oat Syrup Solids,Chia Seeds,Chicory Root Fiber,Honey,Orange Granules,Natural Flavors,Natural Vitamin E.",BACK TO NATURE FOODS COMPANY,BACK TO NATURE CEREAL ORANGE CRUNCH GRAN
kikkoman,"Almonds,Food,Gluten-Free Foods,Food & Grocery,Bulk Food & Grocery,Bulk Snacks,grocery","Filtered Water,Whole Organic Soybeans,Organic Evaporated Cane Juice,Organic Malt Syrup,Tricalcium Phosphate,Sea Salt,Carrageenan,Organic Natural Vanilla Flavor,Vitamin A Palmitate,Vitamin D2.",Jfc International Inc. Box 1 of 3,"Kikkoman Original Pearl Organic Soymilk, 32oz"
kikkoman,"Almonds,Grocery & Gourmet Food,Cooking & Baking,Nuts & Seeds,Food","Filtered Water,Whole Organic Soybeans,Organic Evaporated Cane Juice,Organic Dutch Processed Cocoa Powder,Tricalcium Phosphate,Sea Salt,Carrageenan,Organic Natural Vanilla Flavor,Vitamin A Palmitate,Vitamin D2.",Jfc International Inc. Box 1 of 3,"Kikkoman Chocolate Pearl Organic Soymilk, 32 Fl Oz"
STELLA D'ORO,"Anchovies,Food,Olives,Grocery","Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate {Vitamin B1}, Riboflavin {Vitamin B2}, Folic Acid),Soybean Oil,Corn and Malt Syrup,Salt,Garlic,Yeast,Garlic Oil,Tocopherols Added to Preserve Freshness.",Lance,"Stella D'oro Roasted Garlic Breadsticks, 7.8 Oz"
Badia,"Animal,Cookies,Food,Grocery,Grocery & Gourmet Food,Snack Foods,Crackers","Anise Seed Used mainly to add flavor to cordials and liqueurs*NEWLINE*,Used in France to seasoning fish,soup,seafood and shellfish*NEWLINE*,Used in India on vegetables and seafood dishes*NEWLINE*,One of the most delicate herb plants related to dill,fennel and cumin*NEWLINE*,Gluten free",Badia Spices Inc.,"Badia Anise Seed, .5 Oz"
Tones,"Apple Cider,Condiments,Food,Grocery","Garlic Powder. 1/4 teaspoon garlic powder = 1 medium garlic clove,Since 1873",Tone's,"Tone's Garlic Powder, 2.88 Oz"
Ferrara Candy Company,"Apples,Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Fruits","Sugar,Corn Syrup,Gelatin,Citric Acid,Lactic Acid,Fumaric Acid,Maltodextrin,Confectioner's Glaze,Acacia (Gum Arabic),Natural and Artificial Flavors,Calcium Lactate,Sodium Lactate,Titanium Dioxide [Color],Carnauba Wax (Adds a Trivial Amount of Fat),Beeswax (Adds a Trivial Amount of Fat),Red 40,Yellow 5,Yellow 6,Blue 1,Sodium Citrate.",TROLLI,"Trolli Sour Brite Eggs, 4.0 Ounce Bags, (pack of 12)"
Planters,"Applesauce,Food,Meal Solutions, Grains & Pasta,Canned Goods & Soups,Grocery","Pistachios,Almonds,Cashews,Peanut and/or Cottonseed Oil,Sea Salt. Contains: Pistachio,Almond,Cashew. Manufactured on equipment that processes peanut,other tree nuts.",PLANTERS/DIV OF KRAFT FOODS INC,Planters Pistachio Lovers Mix 18.5 Oz. Canister
Tone's,"Applesauce,Grocery & Gourmet Food,Snack Foods,Applesauce & Fruit Cups",Cumin Ground,Ach Food Companies,Ground Cumin
Spice Islands,"Arborio,Grocery & Gourmet Food,Dried Beans, Grains & Rice,Grains & Rice",Garlic Powder,Spice Island,"Spice Islands: Powder Garlic, 2.25 Oz"
Kernel Season's,"Artichoke Hearts,Food,Canned Vegetables,Canned Goods,Grocery,Vegetables","Sugar,Brown Sugar,Natural Flavor,Caramel Color,and Not More than 2% Silicon Dioxide,Tricalcium Phosphate and Soybean Oil Added to Prevent Caking.",KERNEL SEASON'S LLC,Kernel Season's - All Natural Popcorn Seasoning Caramel - 3 Oz.
Iberia,"Artichoke Hearts,Food,Canned Vegetables,Grocery","Garlic,Water,Citric Acid,Sodium Benzoate.",iberia foods corp.,"Iberia Minced Garlic In Water, 1 Qt"
